Country,Color1,Color2,Color3,Color4,Color5,Color6
Cyprus,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(212), np.uint8(118), np.uint8(0))",,,,
Czech Republic,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(17), np.uint8(69), np.uint8(126))","(np.uint8(215), np.uint8(20), np.uint8(26))",,,
Germany,"(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(255), np.uint8(0), np.uint8(0))","(np.uint8(255), np.uint8(204), np.uint8(0))",,,
Djibouti,"(np.uint8(102), np.uint8(153), np.uint8(255))","(np.uint8(255), np.uint8(254), np.uint8(254))","(np.uint8(0), np.uint8(204), np.uint8(0))",,,
Denmark,"(np.uint8(200), np.uint8(16), np.uint8(46))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,,
Dominica,"(np.uint8(16), np.uint8(140), np.uint8(0))","(np.uint8(255), np.uint8(214), np.uint8(0))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(231), np.uint8(41), np.uint8(16))",
Dominican Republic,"(np.uint8(0), np.uint8(45), np.uint8(98))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(206), np.uint8(17), np.uint8(38))",,,
Algeria,"(np.uint8(0), np.uint8(98), np.uint8(51))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(210), np.uint8(16), np.uint8(52))",,,
Ecuador,"(np.uint8(255), np.uint8(232), np.uint8(0))","(np.uint8(0), np.uint8(20), np.uint8(142))","(np.uint8(218), np.uint8(0), np.uint8(16))",,,
Estonia,"(np.uint8(23), np.uint8(145), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(1))","(np.uint8(255), np.uint8(255), np.uint8(255))",,,
Egypt,"(np.uint8(206), np.uint8(17), np.uint8(38))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(0), np.uint8(1))",,,
Eritrea,"(np.uint8(35), np.uint8(158), np.uint8(70))","(np.uint8(190), np.uint8(0), np.uint8(39))","(np.uint8(243), np.uint8(226), np.uint8(149))","(np.uint8(180), np.uint8(215), np.uint8(244))",,
Spain,"(np.uint8(170), np.uint8(21), np.uint8(27))","(np.uint8(241), np.uint8(191), np.uint8(0))",,,,
Ethiopia,"(np.uint8(41), np.uint8(140), np.uint8(8))","(np.uint8(0), np.uint8(107), np.uint8(198))","(np.uint8(255), np.uint8(198), np.uint8(33))","(np.uint8(239), np.uint8(33), np.uint8(24))",,
Finland,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(0), np.uint8(47), np.uint8(108))",,,,
Fiji,"(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(1), np.uint8(33), np.uint8(105))","(np.uint8(200), np.uint8(16), np.uint8(46))","(np.uint8(104), np.uint8(191), np.uint8(229))",,
Federated States of Micronesia,"(np.uint8(103), np.uint8(151), np.uint8(214))",,,,,
France,"(np.uint8(0), np.uint8(0), np.uint8(145))","(np.uint8(255), np.uint8(255), np.uint8(255))","(np.uint8(225), np.uint8(0), np.uint8(15))",,,
Gabon,"(np.uint8(54), np.uint8(161), np.uint8(0))","(np.uint8(255), np.uint8(231), np.uint8(0))","(np.uint8(0), np.uint8(109), np.uint8(188))",,,
